,token,index
1335,죄송_,1335
1336,부터_,1336
1337,어떤_,1337
1338,괜찮_,1338
1339,려고_,1339
1340,아서_,1340
1341,버스_,1341
1342,사람_,1342
1343,바로_,1343
1344,다음_,1344
1345,조금_,1345
1346,해요_,1346
1347,말씀_,1347
1348,도록_,1348
1349,으니_,1349
1350,다시_,1350
1351,구매_,1351
1352,같이_,1352
1353,다면_,1353
1354,필요_,1354
1355,보다_,1355
1356,사용_,1356
1357,전화_,1357
1358,알려_,1358
1359,예요_,1359
1360,때문_,1360
1361,내일_,1361
1362,셔야_,1362
1363,군요_,1363
1364,아직_,1364
1365,카드_,1365
1366,모르_,1366
1367,하나_,1367
1368,준비_,1368
1369,상품_,1369
1370,보내_,1370
1371,셔서_,1371
1372,라서_,1372
1373,감사_,1373
1374,이용_,1374
1375,음식_,1375
1376,결제_,1376
1377,에요_,1377
1378,연락_,1378
1379,따로_,1379
1380,그러_,1380
1381,문제_,1381
1382,회의_,1382
1383,다는_,1383
1384,그런_,1384
1385,언제_,1385
1386,한데_,1386
